sys_id;nome_item;variaveis;variaveis_sets;veredito_1a_analise;status;criterio_analise_humana;derivados;vars_remover;observacoes
dc0f75b81bb39114d1abda4ce54bcba5;Relatar erros ou ajustes no acesso ADP;"v_company (texto): Company
v_adp_access_maintenance (início container): Report errors or adjustments to ADP access
v_select_the_desired_support (lista): Select the desired support: [Access error (federation) (=access_error) | Inclusion of cost center (process assistant) (=inclusion_cost_center) | Timesheet justification list (=timesheet_justification_list) | ADP access maintenance (=adp_access_maintenance)]
v_csc_will_be_able_to_support_with (rótulo rich text)
v_phone_natura_tbs (rótulo rich text)
v_phone_avon (rótulo rich text)
v_attach_here_the_evidence_with_your_adp_system_error (anexo): Attach here a screenshot of the error screen or management approval email for cost center inclusion.
v_comments (texto longo): Describe your request in detail.";"== EY: Requester Data (a0ace4471bafdd50a530426fe54bcbd2) ==
container_start (início container): Personal Information
vs_solicitation_to_whom (lista): Solicitation to Whom? [My request (=my_request) | Request for another employee (=another_employee)]
vs_employee_status (lista): Employee status [Active (=active) | Away (=away) | Disconnected (=disconnected)]
vs_employee (referência: x_nasm_hr_profile): Employee
vs_id (texto): ID
vs_name (texto): Name
vs_personal_email (texto): Personal email
vs_external_user (checkbox): External user
formatter {sys_id=19e136c91bfbd514a530426fe54bcb0b} (fim container)";conversacional_com_ajustes;;;;;
26f745881b806dd4a530426fe54bcbb2;Solicitação de Exclusão da Aprovação;"v_company_s (texto): Company
v_dates (data): Date
formatter {sys_id=547f68411bcced18a530426fe54bcba3} (fim container)";"== EY: Requester Data (a0ace4471bafdd50a530426fe54bcbd2) ==
container_start (início container): Personal Information
vs_solicitation_to_whom (lista): Solicitation to Whom? [My request (=my_request) | Request for another employee (=another_employee)]
vs_employee_status (lista): Employee status [Active (=active) | Away (=away) | Disconnected (=disconnected)]
vs_employee (referência: x_nasm_hr_profile): Employee
vs_id (texto): ID
vs_name (texto): Name
vs_personal_email (texto): Personal email
vs_external_user (checkbox): External user
formatter {sys_id=19e136c91bfbd514a530426fe54bcb0b} (fim container)

== Add new contributors (e120f3701bc8ad18a530426fe54bcb16) ==
v_employee_s_full_name (referência: x_nasm_hr_profile): Collaborator's full name
v_id (texto): ID
v_company (texto): Company
v_date (data): Date";conversacional_com_ajustes;;;;;
eec5bf8d33104f9098331c07ee5c7b53;Solicitação de Aplicação de Pagamentos - Outros clientes;"requesting_person (referência: sys_user): Requesting person
which_company_your_request_for (lista: sys_user): Which company is your request for? [Natura (=natura) | Avon Latam (=avon_latam)]
which_subsidiary_is_the_service_for (referência: core_company): Which subsidiary is the service for?
country (texto): Country
invoice_number (texto): Invoice Number
registration_number (texto): Registration Number
additional_information (texto longo): Additional Information";;conversacional_com_ajustes;;;;;
71d664751b542550d1abda4ce54bcb0f;Informações ou dúvidas relacionadas à Licenças e Ausências;"Info (rótulo rich text)
formatter (fim container)
v_description_details (texto longo): Describe what you need in this field
contextual_search_results (custom): Contextual Search Results
ai_search_assist (custom): AI Search Assist";;conversacional_com_ajustes;;;;;
4b499a951b84a558a530426fe54bcb84;Solicitação para tratativa de pagamentos Varejo;"v_request_type (lista): Select request type [OP Request (SAC Payment Order) (=op) | Initial store balance request (without withdrawal card) (=balance)]
v_request_type_tbs (lista): Select request type [OP Request (SAC Payment Order) (=op) | TBS Franchise Return Request (=tbs) | Initial store balance request (without withdrawal card) (=balance)]
v_label_payment (início container): To facilitate the payment flow, please fill in all the fields listed below:
v_collaborator_name (texto): Collaborator name
v_franchise_name (texto): Franchise Name
v_cpf (texto): Inform the CPF
v_cnpj (texto): Inform the CNPJ
v_value (texto): Inform the value (R$)
formatter2 (fim container)
v_bank_details (início container): Inform bank details
v_account_type (lista): Account Type [Current account (=current) | Savings account (=savings) | Mix (=mix)]
formatter (fim container)
v_accounting (texto): Inform accounting account
v_cost_center (texto): Inform the Cost Center
v_country (texto): País
v_attach_approval (anexo): Attach the approval of the person in charge";"== EY: Opened by (4c55a4791bbfd154d1abda4ce54bcb1a) ==
vs_opened_by (referência: sys_user): Opened by

== EY: Company: Natura/TBS/Aesop (b9d4b5991bc86558a530426fe54bcba7) ==
vs_company (lista: core_company): Which company is your request for? [Natura Comercial LTDA (Brazil) (=natura) | The Body Shop Brasil Franquias LTDA (Brazil) (=tbs)]

== EY: Store (cb0cb5d91b4c6558a530426fe54bcb70) ==
vs_store (texto): Which store is your request for?

== EY: Bank data (95cc20de1b44a598a530426fe54bcb9c) ==
vs_bank (texto): Bank
vs_agency (texto): Agency
vs_account (texto): Bank account
vs_digit (texto): Digit

== EY: Additional information (9385c79d1bb71d14a530426fe54bcb24) ==
vs_additional_information (texto longo): Additional information";conversacional_com_ajustes;;;;;
9869b07c1bbf1114d1abda4ce54bcb13;Devolução do Aviso de Férias;"label_importante (rótulo rich text)
label_assistente_maia (rótulo rich text)
label_kb_adp (rótulo rich text)
v_cont_start_vacation (início container): Data of vacation
v_vacation_start_date (data): Vacation start date
formatter {sys_id=0801ca1b1bfbdd94a530426fe54bcb80} (fim container)
v_aware_vacation (checkbox): I am aware of the start date of my vacation
v_i_confirm_added_all (checkbox): I confirm that I have added all the collaborators found in the document that will be attached
v_description (texto longo): Description
v_text_attach (rótulo): Attach the leave alert generated by the ADP system 35 days in advance of the start date";"== EY: Requester Data (a0ace4471bafdd50a530426fe54bcbd2) ==
container_start (início container): Personal Information
vs_solicitation_to_whom (lista): Solicitation to Whom? [My request (=my_request) | Request for another employee (=another_employee)]
vs_employee_status (lista): Employee status [Active (=active) | Away (=away) | Disconnected (=disconnected)]
vs_employee (referência: x_nasm_hr_profile): Employee
vs_id (texto): ID
vs_name (texto): Name
vs_personal_email (texto): Personal email
vs_external_user (checkbox): External user
formatter {sys_id=19e136c91bfbd514a530426fe54bcb0b} (fim container)

== (+) Add Contributor (31ab31051b3f9514a530426fe54bcb02) ==
v_vs_name (referência: x_nasm_hr_profile): Name
v_vs_vacation_start_date (data): Vacation start date";dividir;;;;;
96ae57af1b9c61d0d1abda4ce54bcbe7;Informações sobre Cartão Corporativo;"v_if_you_have_questions_about_the_process (rótulo rich text)
v_corporate_card_information (início container): Corporate Card Information
v_what_type_of_doubt_do_you_have (lista): What type of doubt do you have? [Eligibility (=eligibility) | Questions regarding the 2nd Copy of the Corporate Card (=questions_regarding_the_2nd_copy) | Card Limit Questions (=card_limit_questions) | Card Blocking and Unblocking Questions (=card_blocking_and_unblocking) | Card receipt (=card_receipt) | Allowable expenses (=allowables_expenses) | Others (=others)]
v_describe_your_question (texto longo): Describe your question
v_which_audience_do_you_belong_to (lista): Which audience do you belong to? [Administrative (=administrative) | Sales Force (=sales_force) | Retail (=retail)]
v_what_is_the_destination_of_the_international_trip (texto): What is the destination of the international trip?
v_what_is_the_start_date_of_the_trip (data): What is the start date of the trip?
v_what_is_the_end_date_of_the_trip (data): What is the end date of the trip?";"== EY: Opened by - Requested for data (724f41271b446dd8a530426fe54bcb28) ==
vs_personal_information (início container): Personal Information
vs_opened_by (referência: sys_user): Opened by
vs_requested_for (referência: sys_user): Requested for
vs_registration (texto: sys_user): Matriculation
vs_area (referência: cmn_department): Inform the area
vs_email (texto): Inform the email
vs_phone_number (texto): Inform contact phone number
vs_formatter (fim container)

== EY: Company: Natura/Avon/TBS/Aesop - Subcompany (ff18ed571b2c61d0d1abda4ce54bcbe3) ==
vs_company (lista): Which company? [Avon (=Avon LATAM) | Natura | TBS]
vs_subcompany (referência: core_company): What is the sub-company?";dividir;;;;;
0d5a7420874f3a10017d65790cbb354e;Treinamentos Normativos;"what_is_the_request (lista): What is the request? [Solicitação de Mapeamento (=solicitacao_mapeamento) | Sending of certificates (=solicitacao_certificados) | Solicitação de Relatórios (=solicitacao_relatorios) | Solicitação de Desmapeamento (=solicitacao_desmapeamento)]
label_training (rótulo rich text): Label Training
label_training_2 (rótulo rich text): Label Training 2
label_training_3 (rótulo rich text): Label Training 3
select_mapping_type (lista): Select the type of mapping [1. Map a single training session for multiple employees (=1) | 2. Map several trainings for multiple employees (=2)]
select_which_trainings_should_be_mapped (lista lookup: question_choice): Select which training should be mapped";"== EY: Requester Info (55e3c9e887837a10017d65790cbb35d4) ==
opened_by (referência: sys_user): Opened By
request_for_who (lista: x_nasm_hr_profile): Request for who? [For me (=me) | Another collaborator (=another)]
employee (referência: x_nasm_hr_profile): Employee's name

== EY: Training Info (e429096887477a10017d65790cbb35ae) ==
enter_employee_name (referência: sys_user): Employee (Search by ID, Name, or Email)
id_number (texto: sys_user): Registration

== EY: Training Info M2M (778c8dac87877a10017d65790cbb35dd) ==
enter_employee_name_m2m (referência: sys_user): Employee (Search by ID, Name, or Email)
id_number_m2m (texto: sys_user): Registration
indicate_training_m2m (list collector: sys_user): Indicate the training

== EY: Additional information (9385c79d1bb71d14a530426fe54bcb24) ==
vs_additional_information (texto longo): Additional information";dividir;;;;;
739a80251bfb5d14a530426fe54bcb2f;Solicitação de Licença não Remunerada;"information (rótulo rich text)
v_div_leaves_absences (início container): Leaves and Absences
v_license_start_date (data): License start date
v_license_end_date (data): License end date
v_attach_here_the_handwritten_letter_requesting_the_unpaid_leave (anexo): Attach here the handwritten letter requesting the unpaid leave
v_attach_here_the_approval_of_the_vice_presidency_of_the_employee_area (anexo): Attach here the approval of the Vice Presidency of the employee area
attach_here_the_approval_of_the_department_director_for_the_employee (anexo): Attach here the approval of the department director for the employee.
attach_here_the_approval_from_the_hr_department (anexo): Attach here the approval from the HR department.
v_description (texto): Description
formatter {sys_id=88208cb51b339154a530426fe54bcb09} (fim container)";"== EY: Requester Data (a0ace4471bafdd50a530426fe54bcbd2) ==
container_start (início container): Personal Information
vs_solicitation_to_whom (lista): Solicitation to Whom? [My request (=my_request) | Request for another employee (=another_employee)]
vs_employee_status (lista): Employee status [Active (=active) | Away (=away) | Disconnected (=disconnected)]
vs_employee (referência: x_nasm_hr_profile): Employee
vs_id (texto): ID
vs_name (texto): Name
vs_personal_email (texto): Personal email
vs_external_user (checkbox): External user
formatter {sys_id=19e136c91bfbd514a530426fe54bcb0b} (fim container)";manter_formulario;;;;;
915e4ed31b3311d4a530426fe54bcbfe;Contabilização e Conciliação de Folha de Pagamento;"v_cont_start_request (início container): Payroll accounting and reconciliation
v_what_is_your_need (lista): What is your need? [Accounting Entry (=v_accounting_entry) | Accounting Reclassification (=v_accounting_reclassification) | Accounting Report (=v_accounting_report)]
v_alert_accounting_entries (rótulo rich text)
v_text_for_system_entry (rótulo rich text)
v_processing_data (lista): Which accounting system do you need data processing/retrieval from? [E1 (=v_e1) | LINX (=v_linx) | SAP (=v_sap) | TOTVS (=v_totvs)]
v_which_accounting_system_for_report (lista): Which accounting system do you need data processing/retrieval from? [E1 (=e1) | LINX (=linx) | SAP (=sap) | TOTVS (=totvs)]
v_select_company_e1 (lista): For which group company is the process necessary? [Avon Cosméticos (=avon_cosm) | Avon Indústria (=avon_ind)]
v_select_company_semtemplate_e1 (lista): For which group company is the process necessary? [Avon Cosméticos (=avon_cosm) | Avon Indústria (=avon_ind)]
v_select_company_sap (lista): For which group company is the process necessary? [Biosphera (=biosphera) | Holding (=holding) | Instituto Natura (=inst_nat) | Natura Cosméticos (=nat_cosm) | Natura Indústria (=nat_ind)]
v_select_company_semtemplate_sap (lista): For which group company is the process necessary? [Biosphera (=biosphera) | Holding (=holding) | Instituto Natura (=inst_nat) | Natura Cosméticos (=nat_cosm) | Natura Indústria (=nat_ind)]
v_select_company_semtemplate_totvs (lista): For which group company is the process necessary? [The Body Shop Indústria (=tbs_ind)]
v_select_company_totvs (lista): For which group company is the process necessary? [The Body Shop Indústria (=tbs_ind)]
v_selex_company_semtemplate_linx (lista): For which group company is the process necessary? [Natura Comercial (=nat_comerc) | The Body Shop Franquias (=tbs_franq)]
v_selex_company_linx (lista): For which group company is the process necessary? [Natura Comercial (=nat_comerc) | The Body Shop Franquias (=tbs_franq)]
v_download_linx (rótulo rich text): Download template LINX
v_download_totvs_sap (rótulo rich text): Download template SAP
v_download_totvs (rótulo rich text)
v_download_e1 (rótulo rich text): Download template E1
v_text_account_values (texto longo): If you need to collect any accounting data or enter accounting values ​​related to the Payroll, you will need to indicate the details to be considered in the processing, including cost centers, accounting accounts and amounts.";;manter_formulario;;;;;
