"prioridade";"recomendacao";"esforco";"prontidao_atual";"volume_12m";"tabela";"categoria";"nome_atual";"nome_sugerido";"qtd_derivados";"derivados";"qtd_perguntas";"qtd_bloqueadores";"frases_exemplo";"justificativa";"sys_id"
"alta";"conversacional_com_ajustes";"medio";"55";"13767";"x_nasm_rtr_case";"Lançamentos Contábeis";"Lançamento Contábil - Natura + TBS";"Solicitar lançamento contábil (Natura e TBS)";"0";"";"4";"2";"Preciso fazer um lançamento contábil na Natura | reclassificar despesa de centro de custo | lançamento manual TBS | quero corrigir a conta de uma despesa lançada errada | subir planilha de lançamento contábil | solicitar reclass contábil Natura";"É o 2º item mais pedido do catálogo (13.767 em 12 meses) e não tem bloqueadores. O núcleo é aprovador + planilha modelo + documento de suporte. Os 3 rótulos rich text (links de repositório e instruções) não chegam ao LLM e o aprovador tem qualifier por script, por isso precisa de ajustes e teste.";"dd1feace1b2da590d1abda4ce54bcbcb"
"alta";"dividir";"alto";"15";"12153";"x_nasm_ptp_case";"Consulta de Fornecedores";"Consulta de Fornecedores ""Externo""";"Consulta de pagamento para fornecedores";"3";"Consultar status ou comprovante de pagamento (fornecedor) | Solicitar composição de pagamento (fornecedor) | Consultar ou corrigir lançamento de nota fiscal (fornecedor)";"0";"5";"sou fornecedor e quero saber se minha nota foi paga | preciso do comprovante de pagamento da minha NF | recebi um pagamento e não sei a que notas se refere | minha nota foi lançada com valor errado | quiero saber el estado de pago de mi factura";"Item de volume muito alto (rank 5), público e usado pelo próprio fornecedor. Tem 44 perguntas, 37 policies onLoad, widget Custom de anexo público e 3 client scripts sem VA Supported. A estrutura é a do item interno: 5 blocos numerados de nota fiscal e um tipo de consulta que junta intenções com dados diferentes. Dividir nos mesmos 3 grupos do interno, com dados do fornecedor antes, reduz a conversa para umas 10 perguntas. A policy 'sempre' de read-only também tem que sair da visão do catálogo.";"a837052d1b99e510a530426fe54bcbe5"
"alta";"conversacional_com_ajustes";"medio";"40";"11840";"x_nasm_hr_case";"Licenças e Ausências";"Lançamento de Atestados";"Enviar atestado médico";"0";"";"5";"3";"preciso enviar meu atestado | fiquei doente e tenho atestado de 3 dias | como lanço atestado médico no ponto? | quero justificar minha falta de ontem com atestado | tenho um atestado de 20 dias pra entregar | mandar atestado do dentista";"Item de maior volume do catálogo (rank 1) e com poucas perguntas reais (data de início, dias, telefone, anexo), ideal para conversa. O único bloqueador é o client script onLoad EY:OnLoadRules, que lê top.location e não é VA Supported. Os rich text labels de instrução precisam ir para a descrição e a lógica de loop_control/greater_than_fifteen deve sair do cliente.";"822a4a181b1f3010d1abda4ce54bcbe7"
"alta";"conversacional_com_ajustes";"medio";"50";"11178";"x_nasm_ptp_case";"Pagamentos";"Ajuste de Lançamento de Fornecedor";"Solicitar ajuste de lançamento de fornecedor";"0";"";"6";"0";"preciso corrigir o lançamento de uma nota do fornecedor | a nota foi lançada no pedido de compra errado | valor da NF lançado errado, precisa ajustar | ajustar lançamento de fornecedor na folha de serviço | lançaram a fatura do fornecedor com valor diferente";"É o 3º item em volume (11 mil casos em 12 meses) e tem intenção única e clara. Não tem bloqueador, mas passa de 20 perguntas por causa das variantes de sub-empresa do set e nenhuma pergunta tem conversational label. Com o set enxuto e labels em pt-BR, a conversa fica com umas 8 perguntas.";"95d6eae91b156910a530426fe54bcb39"
"alta";"conversacional_com_ajustes";"alto";"45";"9994";"x_nasm_hr_case";"Reembolsos";"Solicitar reembolsos de conectividade";"Solicitar reembolso de internet (conectividade)";"0";"";"8";"4";"quero pedir o reembolso da minha internet | preciso lançar a fatura de internet desse mês | reembolso de conectividade | como faço pra receber de volta o valor da internet de casa? | solicitar reintegro de internet | mandar a conta de internet pra reembolso";"Item de altíssimo volume (rank 7) com intenção única e clara: pedir reembolso mensal da fatura de internet/conectividade. Não tem bloqueador formal, mas soma 28 perguntas (acima do limite de 20, então a VA abre janela), 8 rótulos rich text com instruções que não chegam ao LLM e 17 client scripts com GlideAjax (teto, duplicidade de fatura, data completa). Depois de derivar os dados do solicitante e os campos técnicos, a conversa cai para 4 a 8 perguntas, o que justifica o esforço.";"30c718e51b091ed0514cbaef4b4bcb43"
"alta";"dividir";"alto";"20";"8597";"x_nasm_ptp_case";"HUB de Pagamentos";"Solicitar Criação de Pedido de Compra, Folha de Serviço e Aceite de Folha de Serviço";"Pedido de compra e folha de serviço (HUB de Pagamentos)";"3";"Solicitar criação de pedido de compra (Ariba, Coupa ou Linx) | Solicitar criação de folha de serviço | Solicitar aceite de folha de serviço";"0";"5";"pedido de compra | folha de serviço";"Rank 6 em volume (8.597) e três intenções num único select (v_type_of_request): criação de pedido de compra (Ariba/Coupa/Linx, com template e anexo), criação de folha de serviço e aceite de folha de serviço. São 65 perguntas, 31 UI policies de visão, 14 client scripts (inclusive o motor de 8,4 KB que mostra uma de 30 classificações LC116 e scripts que reconstroem opções por empresa/área). Os ramos de folha de serviço são curtos e ótimos para conversa; o ramo de pedido de compra pode ser conversacional com o anexo no fim.";"db9c46e71bdd2910d1abda4ce54bcb0e"
"alta";"conversacional_com_ajustes";"baixo";"60";"4903";"x_nasm_tax_case";"Fiscal";"Resíduos";"Solicitar nota fiscal de venda ou doação de resíduos";"0";"";"2";"1";"Preciso de nota para vender sucata | emitir nota de doação de resíduos | remessa de resíduos para reciclagem | nota fiscal de venda de papelão | descarte de resíduos precisa de NF";"8º item mais pedido (4.903 em 12 meses), com só 4 perguntas e sem bloqueadores. O nome ""Resíduos"" sozinho não casa com o que o usuário pede, e a descrição fala em ""vendas e remessas (doação)"". O ganho está em nome, descrição e labels, com esforço baixo.";"05c76e3f1bb83910a530426fe54bcb71"
"alta";"conversacional_com_ajustes";"medio";"30";"4659";"x_nasm_ptp_case";"Pagamentos";"Pagamento de Pré-edição";"Solicitar pagamento manual (pré-edição)";"0";"";"9";"1";"preciso pagar um boleto manualmente | pagamento manual de imposto | pagar taxa que não tem pedido de compra | solicitar pré-edição de pagamento | pagar fornecedor sem PO | tenho uma guia para pagar com urgência";"Volume alto (4.659 em 12 meses, rank 16). Está bloqueado só pelo client script ""EY: Approver PopUp"" (onLoad sem VA Supported), um aviso com data de expiração 2026-07-24 que já passou: dá pra remover. Depois disso, é ajustar labels, obrigatoriedade e o rich text de anexos.";"db5be02a1b152150d1abda4ce54bcbca"
"alta";"dividir";"alto";"15";"4380";"x_nasm_hr_case";"Serviços Externos";"Ex Colaboradores ou Colaboradores Afastados";"Atendimento de RH para ex-colaboradores e colaboradores afastados";"3";"Atendimento de RH para ex-colaboradores | Estender auxílio berçário após desligamento | Atendimento de RH para colaboradores afastados";"0";"5";"saí da empresa e preciso do informe de rendimentos | sou ex-colaborador e quero uma declaração de tempo de serviço | estou afastado e tenho dúvida no meu holerite | estou de licença-maternidade e preciso mandar um atestado | quero estender o auxílio berçário depois do desligamento";"Item de alto volume (rank 10) e bloqueado: três variáveis Custom com widget (pesquisa contextual, AI Search Assist e anexo público), um client script sem VA Supported que abre spModal, cinco onSubmit que checam anexo pelo DOM, 25 perguntas e 23 policies onLoad. Ele junta dois públicos (ex-colaborador e colaborador afastado), cada um com árvore própria de categoria e subcategoria, além de um caso com regras específicas (extensão do auxílio berçário). Dividir por público e isolar o berçário deixa cada ramo com menos de 10 perguntas.";"0d09683e1bada510a530426fe54bcbdd"
"alta";"conversacional_com_ajustes";"medio";"35";"4226";"x_nasm_rtr_case";"Provisões de Fatura";"Solicitação de Provisões de Fatura";"Solicitar provisão de fatura";"0";"";"6";"2";"Preciso provisionar uma fatura | provisão de despesa sem nota fiscal | fornecedor não mandou a nota, quero provisionar | lançar provisão de fatura do mês | accrual de serviço prestado";"Alto volume (4.226 em 12 meses). O bloqueio vem de v_template_provision_avon_natura (Custom with Label com macro/widget) e de um client script onLoad com GlideAjax que exibe aviso de janela de fechamento. Os dois só entregam informação, que pode ir para a descrição/KB. O resto é tipo, área, descrição e dois anexos.";"ce21f4bd1bed2110a530426fe54bcba3"
